cgpa,iq,communication_score,projects,internships,placed
6.95,91,3,1,0,0
6.52,87,3,4,0,0
9.29,90,3,4,1,1
8.48,123,5,2,2,1
7.59,101,2,2,1,1
9.08,139,3,2,2,1
7.68,101,2,3,1,1
6.74,110,5,1,1,0
9.12,127,2,2,0,1
8.14,132,3,2,1,1
6.56,133,4,1,1,0
7.41,123,4,1,1,1
6.72,120,3,1,0,0
6.22,115,3,2,0,0
8.53,117,3,3,0,1
9.51,101,3,1,0,1
6.2,98,3,3,0,0
8.16,108,3,2,1,1
6.95,106,3,3,0,0
7.11,103,3,2,0,0
7.01,116,4,2,0,1
6.74,119,5,0,1,0
7.65,109,4,3,0,1
6.77,126,2,0,0,0
7.87,94,2,3,1,1
7.55,106,5,4,0,1
7.36,99,3,1,2,1
6.69,86,2,1,2,0
7.02,107,4,2,0,0
8.36,107,4,1,0,1
8.1,126,4,3,1,1
6.62,116,3,0,0,0
7.7,96,1,0,0,0
8.35,130,5,4,0,1
5.93,123,3,2,2,0
8.14,115,4,3,0,1
6.94,105,4,1,1,1
8.17,96,4,2,1,1
6.84,104,3,2,0,0
5.8,121,3,2,0,0
5.97,131,4,2,2,0
7.65,127,4,2,0,1
7.86,102,5,1,1,1
6.7,95,2,1,0,0
8.24,110,2,2,0,1
5.94,87,5,1,0,0
7.53,112,4,2,0,1
6.39,106,4,1,0,0
6.95,102,3,2,1,0
7.65,89,4,2,0,1
6.74,114,4,1,0,0
7.22,102,4,0,0,0
8.61,94,3,0,1,1
7.02,80,1,2,0,0
8.44,108,4,3,1,1
6.47,129,3,0,0,0
8.13,128,3,2,0,1
9.04,103,5,1,0,1
5.13,101,3,2,1,0
6.8,114,4,3,0,0
8.18,96,2,1,0,0
7.4,112,4,2,0,0
7.97,117,5,0,1,1
7.0,123,2,0,0,0
7.69,107,1,1,0,0
7.44,106,3,0,0,0
8.77,97,2,2,0,1
7.85,98,4,1,1,1
7.94,105,5,2,1,1
7.19,112,3,1,0,0
7.11,119,3,1,0,0
7.17,98,3,2,0,0
7.99,126,4,4,0,1
7.18,105,1,0,0,0
7.89,108,4,3,1,1
9.68,99,4,2,2,1
8.47,80,4,2,2,1
7.27,119,3,2,1,1
8.8,117,4,0,1,1
7.19,105,2,0,1,0
5.56,109,2,2,0,0
6.59,114,4,1,1,0
5.73,89,4,3,0,0
7.25,102,1,1,0,0
7.62,118,3,0,1,0
9.28,93,3,2,0,1
7.93,112,3,1,0,1
7.38,92,3,2,2,1
8.43,114,2,2,0,1
5.39,108,3,3,0,0
7.84,89,4,2,2,1
8.37,122,4,2,1,1
6.12,99,4,2,0,0
8.74,98,2,3,0,1
7.94,110,5,1,0,1
7.18,122,4,0,1,0
8.23,96,4,1,1,1
9.87,109,4,1,0,1
7.78,113,5,2,0,1
7.85,116,3,2,0,1
7.14,110,3,2,2,1
6.75,104,4,0,0,0
8.43,98,4,2,1,1
6.74,109,4,1,0,0
7.67,95,3,2,1,1
7.12,80,2,2,2,0
8.08,113,3,1,1,1
7.93,119,5,0,0,1
8.64,80,4,0,1,1
7.09,96,3,3,1,1
7.33,115,3,3,0,0
6.62,133,3,2,1,0
7.16,108,4,0,1,0
7.98,99,4,1,1,1
8.36,106,4,2,1,1
6.68,124,3,2,0,1
8.47,100,4,0,0,1
8.96,98,3,0,0,1
8.01,102,4,2,2,1
9.48,97,3,1,1,1
6.83,109,3,1,1,0
6.36,127,4,0,0,0
5.82,112,5,2,0,0
9.1,105,2,3,1,1
8.25,104,4,4,0,1
7.54,89,3,2,0,1
7.88,119,3,2,1,1
6.47,107,1,0,0,0
10.0,106,3,2,0,1
7.73,140,3,1,0,1
7.71,112,2,2,0,0
8.33,99,3,1,2,1
8.08,103,5,1,0,1
7.82,122,2,0,0,1
6.81,109,4,1,0,0
8.07,91,3,0,1,0
9.48,119,4,1,0,1
8.95,100,3,4,1,1
9.19,130,2,1,0,1
7.09,121,2,2,0,0
6.61,103,2,3,0,0
7.47,123,2,4,1,1
7.66,109,4,2,1,1
8.69,118,4,3,0,1
5.91,114,4,1,0,0
9.13,98,4,1,2,1
7.44,100,2,1,0,0
7.17,120,3,2,1,1
6.59,104,3,2,0,0
5.95,103,3,1,2,0
8.42,97,3,0,1,1
7.67,113,3,2,2,1
6.31,133,3,0,1,0
6.3,95,3,2,0,0
7.26,108,4,2,2,1
9.27,125,4,2,0,1
7.34,107,3,2,0,0
6.1,113,5,3,1,0
7.35,95,5,2,1,1
7.33,113,3,2,2,0
5.0,106,3,2,0,0
7.55,120,3,1,1,1
7.37,122,5,0,1,1
8.3,139,4,1,0,1
9.45,115,2,1,0,1
8.73,112,3,2,0,1
7.33,110,4,3,0,1
6.49,104,3,1,2,0
10.0,112,2,0,1,1
7.66,104,4,4,1,1
7.61,110,4,0,2,1
7.58,124,4,2,0,0
7.8,96,4,2,1,1
7.46,122,4,2,0,1
7.03,124,3,0,1,0
7.05,107,4,0,0,0
7.57,83,2,0,2,0
7.06,101,4,2,0,0
6.89,124,2,2,0,0
7.71,108,4,1,1,1
7.35,96,3,2,0,0
9.1,102,2,3,1,1
5.0,118,2,0,0,0
8.69,115,1,2,1,1
8.85,105,4,2,0,1
5.53,104,4,1,0,0
7.26,103,3,1,0,0
7.23,97,2,2,0,0
6.19,127,2,3,0,0
6.82,104,1,3,0,0
6.49,123,2,2,0,0
9.35,126,4,2,0,1
8.54,120,3,1,1,1
8.87,103,3,2,1,1
8.32,113,2,2,0,1
6.47,108,3,1,1,0
7.08,97,3,2,1,0
8.09,112,4,2,0,1
6.38,94,3,1,1,0
8.31,122,2,3,0,1
7.36,102,3,0,0,0
7.23,110,3,1,0,0
8.31,111,3,0,1,1
8.04,105,5,2,1,1
7.24,115,4,2,0,1
8.76,102,4,1,0,1
6.52,118,3,2,2,1
8.22,92,3,1,0,1
8.19,110,3,2,0,1
7.29,131,4,2,2,1
7.93,96,4,1,1,1
6.35,100,2,3,1,0
8.52,114,3,1,1,1
7.42,110,3,0,1,0
7.08,112,4,2,0,1
8.65,114,4,4,0,1
6.9,116,3,1,0,0
6.19,121,2,0,2,0
6.04,113,4,1,1,0
8.21,105,2,2,0,1
6.32,116,3,1,1,0
9.35,131,2,2,0,1
5.52,106,4,4,0,0
9.3,96,3,2,0,1
7.81,121,3,1,0,0
7.5,107,4,1,1,1
7.06,82,3,0,0,0
8.0,118,3,3,1,1
7.56,102,3,1,1,0
8.7,107,1,1,0,0
7.71,112,4,2,2,1
7.75,110,2,1,0,0
7.24,117,3,2,0,1
7.54,103,4,0,0,0
7.91,114,4,3,1,1
5.89,105,4,3,0,0
6.25,117,3,2,0,0
8.34,115,1,4,0,1
7.77,97,4,1,0,0
7.42,121,3,2,1,1
7.62,102,4,2,0,1
7.95,118,4,2,0,1
7.06,112,4,1,0,0
6.82,130,3,1,0,0
7.8,105,3,0,2,0
6.62,104,4,1,0,0
8.01,108,3,1,2,1
5.9,104,2,2,0,0
8.63,118,4,1,0,1
8.07,89,4,0,1,0
7.86,95,3,2,0,1
8.58,95,2,2,1,1
9.27,119,3,3,2,1
8.61,129,4,2,0,1
5.76,107,5,1,0,0
6.32,106,3,3,1,0
6.98,109,2,2,0,0
7.63,122,4,0,0,0
8.12,97,3,2,0,0
6.87,111,3,3,0,0
7.79,120,5,1,1,1
6.84,114,2,1,0,0
6.99,110,4,0,0,0
6.19,120,2,1,1,0
6.68,80,3,1,0,0
6.25,116,4,2,0,0
6.62,100,3,0,1,0
8.65,86,5,3,0,1
6.65,114,4,2,1,0
10.0,124,3,2,1,1
8.09,106,3,3,0,1
7.78,119,3,0,0,0
6.74,127,3,2,0,0
8.3,124,2,2,0,1
7.02,128,3,3,1,1
7.72,117,3,2,1,1
10.0,109,4,1,0,1
7.5,89,4,3,1,1
8.75,105,4,0,2,1
6.9,98,1,3,2,0
7.57,134,3,4,0,1
9.37,106,4,1,0,1
6.97,109,3,2,0,0
9.41,115,1,0,2,1
8.31,109,4,1,0,1
7.04,128,4,2,1,1
8.23,101,3,2,0,1
8.57,110,2,3,0,1
8.22,99,4,2,0,1
6.03,92,4,2,2,0
6.87,101,4,3,0,0
7.35,108,4,4,1,1
7.53,103,4,0,0,1
8.22,100,3,4,0,1
7.78,91,2,0,0,0
6.26,107,4,3,0,0
7.98,90,4,1,0,1
8.21,117,4,0,0,1
8.16,109,2,1,0,0
8.68,91,2,2,0,1
8.43,104,4,1,2,1
8.06,99,4,0,2,1
7.53,112,5,2,0,1
5.94,124,4,3,1,0
8.03,85,4,1,2,1
7.81,109,4,1,0,1
7.87,106,4,1,1,1
6.32,116,4,0,2,0
6.52,111,4,3,0,0
8.65,99,2,3,0,1
7.56,104,3,2,2,1
8.28,98,4,1,0,1
7.63,121,3,2,0,1
7.63,108,3,2,0,0
8.54,131,3,3,0,1
7.08,107,3,2,1,1
7.7,99,3,2,1,1
7.14,90,3,2,2,0
7.17,86,5,1,0,0
7.29,89,3,4,0,1
7.82,111,2,2,0,0
7.12,114,2,2,0,1
8.86,89,4,1,0,1
6.71,119,3,2,2,1
7.41,102,4,2,1,0
7.16,110,4,1,0,0
9.05,127,4,0,1,1
7.8,119,3,2,0,1
8.63,105,4,2,0,1
6.11,97,3,2,1,0
7.87,82,5,1,0,1
8.49,99,4,2,2,1
7.68,105,3,0,1,0
8.67,96,3,1,0,1
7.08,106,2,1,1,0
9.01,109,4,1,0,1
9.9,105,3,1,0,1
7.24,100,4,1,0,0
7.15,110,3,0,0,0
9.05,113,4,1,1,1
9.18,95,4,2,0,1
7.08,125,4,2,1,1
7.18,107,4,1,1,1
7.32,108,2,3,0,1
6.26,116,2,0,1,0
6.68,111,4,2,0,0
6.6,119,3,0,0,0
6.83,111,3,0,0,0
7.57,101,1,2,0,0
7.83,112,3,2,0,1
9.15,94,1,3,1,1
6.6,109,4,2,0,0
8.58,108,3,4,0,1
7.39,106,4,0,2,0
7.55,106,1,0,1,0
8.27,85,4,0,1,1
6.48,101,3,1,0,0
7.98,109,4,2,1,1
7.77,110,4,2,1,1
8.09,96,3,0,1,0
7.89,123,5,3,1,1
10.0,98,5,3,0,1
6.96,120,4,1,0,0
7.07,113,4,0,0,0
6.98,100,3,1,0,0
7.04,129,4,0,1,1
6.96,94,2,0,0,0
8.79,119,2,2,2,1
9.02,120,5,1,2,1
7.03,100,3,1,0,0
6.77,125,4,4,0,1
8.07,105,4,2,1,1
7.05,111,4,3,2,1
8.23,111,5,0,0,1
7.8,106,3,1,0,0
6.08,118,1,2,0,0
9.15,118,3,0,1,1
9.4,87,2,0,0,1
6.99,124,1,2,1,0
7.21,88,3,2,0,0
7.89,120,4,1,0,1
7.93,122,4,2,0,1
8.26,95,3,1,0,1
9.61,103,4,0,0,1
7.42,95,3,1,0,0
6.8,105,1,1,0,0
6.22,104,4,0,0,0
6.87,117,4,4,0,1
7.57,124,4,2,2,1
9.39,125,1,2,0,1
7.08,101,4,1,0,0
7.82,105,4,1,1,1
7.58,88,4,1,2,0
8.79,98,4,0,0,1
10.0,120,4,1,1,1
7.07,127,4,2,1,1
7.11,93,4,2,1,1
8.64,101,5,2,0,1
8.28,108,4,2,1,1
9.45,111,3,3,0,1
8.18,98,4,0,1,1
7.24,113,3,1,1,0
8.19,102,3,1,0,1
8.71,108,4,2,1,1
8.42,115,5,4,0,1
8.11,108,5,1,1,1
8.67,103,3,3,0,1
8.77,107,3,3,0,1
8.98,107,3,1,0,1
8.25,104,5,1,2,1
7.43,105,5,1,0,1
7.75,127,4,4,0,1
8.81,115,4,1,0,1
6.78,104,4,2,1,0
7.97,116,4,1,0,1
7.21,104,2,2,0,0
7.63,122,3,1,0,1
8.88,112,4,2,0,1
7.79,107,4,3,0,1
7.65,113,3,3,0,1
6.24,89,5,3,1,1
8.35,94,2,0,0,0
8.25,94,3,2,0,1
9.76,110,4,0,0,1
7.29,129,4,1,2,1
7.82,135,4,2,2,1
7.85,116,3,1,1,1
9.18,114,2,2,0,1
7.5,86,4,4,0,0
7.88,101,4,0,0,0
8.21,99,2,2,0,0
7.79,101,4,1,0,1
7.15,106,3,0,1,0
7.79,102,4,1,1,1
8.67,84,4,3,1,1
6.57,117,2,3,0,0
7.73,95,1,3,1,0
6.9,111,4,4,0,0
8.8,133,4,1,0,1
6.08,97,4,1,1,0
7.04,80,4,2,0,0
7.98,105,4,2,0,0
9.17,121,5,1,0,1
7.53,132,3,1,1,1
7.04,93,3,2,1,0
9.48,114,3,2,0,1
6.15,102,2,1,1,0
5.4,107,4,2,0,0
8.04,140,3,2,0,1
7.1,90,5,2,1,1
6.58,111,4,1,1,0
8.31,114,4,2,2,1
7.84,121,3,0,0,1
7.04,109,2,1,1,0
6.32,112,1,2,1,0
8.47,103,3,2,2,1
8.25,111,2,1,0,1
7.5,104,4,2,1,1
9.45,115,4,2,1,1
6.53,104,4,2,0,0
6.07,113,4,2,0,0
6.91,108,3,2,0,0
7.55,122,4,2,1,1
7.84,107,4,0,1,1
7.36,87,2,1,1,0
7.95,123,4,1,1,1
6.35,97,3,2,0,0
9.04,100,4,2,0,1
7.52,101,5,1,0,1
8.72,124,1,0,0,1
7.94,82,4,2,0,1
8.06,140,4,1,0,1
8.17,121,5,2,0,1
8.05,111,3,0,0,1
8.24,107,4,2,0,1
8.93,111,2,3,0,1
7.8,114,3,1,0,0
8.31,116,2,2,2,1
7.51,115,5,0,1,0
9.04,109,4,2,1,1
6.92,106,4,2,0,0
9.4,106,5,1,1,1
7.56,106,2,2,1,0
6.17,122,3,3,1,0
7.73,115,2,1,0,1
6.92,80,3,0,1,0
8.44,116,3,3,1,1
6.95,110,3,2,1,0
7.15,108,3,3,1,0
5.71,103,2,2,0,0
7.15,121,2,3,0,0
5.18,119,2,1,0,0
6.02,99,5,2,1,0
8.36,113,4,3,0,1
8.39,96,5,2,0,1
8.03,91,3,1,0,1
6.63,100,3,1,0,0
7.55,118,4,1,0,0
7.6,119,3,1,1,0
6.44,114,3,1,1,0
9.1,117,3,2,0,1
8.48,114,2,2,0,1
7.38,100,3,1,0,0
7.63,113,3,2,1,0
7.81,118,4,0,0,1
5.56,117,2,0,0,0
7.35,122,3,1,0,0
6.92,116,4,2,1,0
6.6,112,2,1,1,0
7.32,121,3,1,1,0
